customer_id,monthly_spend,contract_length_months,support_tickets,feature_usage_score,days_since_last_login,price_sensitivity_score,competitor_engagement,churn
C000073,2325.56,12,7,0.658,24,0.095,0.266,0
C000074,81.79,12,3,0.938,8,0.309,0.332,0
C000075,1283.73,6,2,0.654,26,0.804,0.336,0
C000076,713.11,24,2,0.739,16,0.632,0.136,0
C000077,523.63,6,1,0.125,16,0.292,0.238,0
C000078,715.81,3,1,0.44,34,0.577,0.456,0
C000079,135.63,24,3,0.439,5,0.353,0.377,0
C000080,557.95,6,2,0.313,17,0.435,0.2,0
C000081,885.09,12,3,0.469,18,0.353,0.057,0
C000082,2169.64,3,6,0.412,51,0.425,0.543,0
C000083,439.39,6,2,0.345,0,0.353,0.188,1
C000084,348.35,6,3,0.412,13,0.443,0.091,0
C000085,445.23,3,2,0.228,6,0.403,0.327,0
C000086,1383.43,12,3,0.146,36,0.776,0.239,0
C000087,865.23,24,1,0.308,7,0.094,0.264,0
C000088,435.37,12,1,0.838,6,0.839,0.313,0
C000089,1002.86,24,1,0.904,22,0.306,0.206,0
C000090,718.86,6,1,0.404,6,0.346,0.405,1
C000091,1443.63,12,3,0.588,10,0.508,0.454,0
C000092,379.31,6,6,0.76,0,0.624,0.123,0
C000093,511.77,12,5,0.391,8,0.292,0.279,0
C000094,486.05,12,3,0.245,24,0.472,0.151,0
C000095,206.27,12,3,0.368,16,0.198,0.125,0
C000096,842.94,24,4,0.417,3,0.324,0.082,1
C000097,819.62,12,2,0.851,34,0.354,0.136,0
C000098,667.87,12,3,0.643,8,0.421,0.341,0
C000099,551.33,36,5,0.249,42,0.229,0.027,1
C000100,214.37,6,6,0.527,36,0.439,0.18,0
C000101,475.08,12,1,0.536,3,0.393,0.315,0
C000102,505.64,24,4,0.206,48,0.474,0.18,1
C000103,350.09,12,3,0.7,1,0.532,0.277,0
C000104,584.63,6,4,0.37,10,0.185,0.358,0
C000105,918.96,12,2,0.167,3,0.43,0.211,0
C000106,3007.75,12,5,0.443,2,0.164,0.57,0
C000107,764.84,12,1,0.681,2,0.517,0.404,1
C000108,817.33,6,4,0.363,0,0.246,0.182,0
C000109,626.68,36,5,0.66,31,0.227,0.361,0
C000110,143.31,24,1,0.156,6,0.471,0.157,0
C000111,651.18,12,1,0.205,0,0.562,0.42,0
C000112,697.98,12,4,0.285,5,0.498,0.12,0
C000113,4772.35,24,1,0.162,1,0.688,0.325,0
C000114,570.27,6,4,0.068,0,0.37,0.176,0
C000115,846.61,6,3,0.724,31,0.302,0.246,0
C000116,646.93,12,4,0.616,0,0.544,0.283,1
C000117,261.14,24,5,0.686,40,0.294,0.159,0
C000118,1659.48,3,4,0.15,4,0.884,0.403,0
C000119,1213.84,36,3,0.454,60,0.23,0.372,0
C000120,1252.41,12,5,0.788,28,0.601,0.084,0
C000121,321.34,12,6,0.718,5,0.466,0.383,1
C000122,2043.12,6,4,0.865,6,0.551,0.086,0
C000123,216.7,6,2,0.37,6,0.182,0.378,0
C000124,1063.68,24,1,0.327,4,0.319,0.325,0
C000125,3836.69,36,1,0.197,5,0.589,0.32,0
C000126,301.14,12,1,0.741,18,0.471,0.26,1
C000127,422.83,36,2,0.789,21,0.37,0.527,0
C000128,720.34,24,2,0.302,4,0.346,0.22,0
C000129,444.62,12,3,0.788,37,0.405,0.071,0
C000130,192.38,12,5,0.346,29,0.185,0.326,0
C000131,702.64,12,4,0.902,13,0.693,0.1,0
C000132,284.34,12,2,0.579,3,0.326,0.158,0
C000133,971.53,3,4,0.106,10,0.607,0.467,0
C000134,318.77,12,3,0.38,9,0.177,0.515,0
C000135,2298.35,3,1,0.314,46,0.212,0.029,1
C000136,355.45,24,2,0.509,39,0.355,0.311,1
C000137,514.07,24,1,0.355,0,0.611,0.472,0
C000138,1275.14,6,3,0.667,0,0.754,0.349,0
C000139,248.47,12,4,0.623,29,0.212,0.337,1
C000140,797.89,12,7,0.659,2,0.072,0.44,0
C000141,1892.61,12,4,0.294,4,0.656,0.115,0
C000142,183.83,6,2,0.463,58,0.031,0.308,0
C000143,771.01,12,2,0.468,8,0.651,0.262,0
C000144,818.85,6,3,0.197,36,0.025,0.296,0
C000145,1243.22,3,3,0.952,3,0.475,0.113,0
C000146,247.26,3,1,0.362,22,0.551,0.18,0
C000147,231.28,6,3,0.974,19,0.267,0.163,0
C000148,1009.85,24,3,0.67,26,0.652,0.199,0
C000149,843.52,36,3,0.348,6,0.432,0.187,1
C000150,812.73,12,3,0.703,2,0.384,0.171,0
C000151,877.57,12,3,0.311,1,0.311,0.165,1
C000152,386.06,6,5,0.82,22,0.45,0.378,1
C000153,800.95,12,3,0.73,21,0.448,0.289,0
C000154,840.89,6,2,0.702,0,0.439,0.486,0
C000155,375.6,12,4,0.613,18,0.38,0.052,0
C000156,2959.04,36,3,0.468,3,0.25,0.472,0
C000157,971.72,6,1,0.319,0,0.333,0.111,0
C000158,256.46,24,1,0.082,14,0.288,0.566,0
C000159,1124.67,3,4,0.543,5,0.159,0.063,0
C000160,304.98,12,3,0.852,15,0.451,0.281,0
C000161,1248.46,6,2,0.67,25,0.474,0.094,0
C000162,1680.55,12,5,0.318,52,0.381,0.293,1
C000163,344.97,6,7,0.357,8,0.453,0.097,0
C000164,1437.56,12,1,0.901,10,0.179,0.228,0
C000165,925.4,12,4,0.742,3,0.049,0.472,0
C000166,1283.89,12,2,0.198,25,0.553,0.131,0
C000167,3033.38,12,3,0.67,34,0.156,0.241,1
C000168,546.58,36,2,0.437,24,0.191,0.194,0
C000169,363.95,12,0,0.811,11,0.61,0.212,0
C000170,326.49,6,3,0.71,16,0.517,0.432,0
C000171,346.32,6,4,0.025,4,0.114,0.277,0
C000172,625.35,24,0,0.525,26,0.334,0.645,1
C000173,873.86,12,0,0.528,21,0.295,0.408,0
C000174,829.94,12,1,0.658,51,0.309,0.099,1
C000175,1289.16,6,3,0.657,16,0.585,0.253,0
C000176,672.1,12,1,0.421,27,0.373,0.191,0
C000177,2127.76,6,2,0.474,13,0.339,0.175,1
C000178,538.22,36,5,0.823,36,0.453,0.4,1
C000179,5861.35,24,3,0.864,17,0.106,0.27,0
C000180,1097.22,3,5,0.574,12,0.668,0.146,0
C000181,335.05,12,3,0.862,3,0.489,0.117,0
C000182,282.39,6,5,0.461,32,0.136,0.098,0
C000183,978.46,12,4,0.441,33,0.441,0.609,1
C000184,556.26,24,7,0.972,7,0.416,0.258,0
C000185,1177.56,12,2,0.841,11,0.72,0.658,0
C000186,971.26,12,4,0.955,10,0.092,0.423,0
C000187,627.5,6,2,0.297,8,0.475,0.156,1
C000188,337.84,24,3,0.63,13,0.757,0.061,0
C000189,197.97,12,2,0.52,14,0.092,0.067,0
C000190,465.35,12,1,0.776,1,0.585,0.321,0
C000191,1319.65,6,8,0.177,6,0.446,0.295,0
C000192,789.4,12,2,0.83,1,0.148,0.338,0
C000193,245.53,36,1,0.611,25,0.392,0.22,0
C000194,763.98,12,5,0.424,25,0.312,0.503,1
C000195,905.29,12,3,0.584,6,0.222,0.138,0
C000196,327.97,12,1,0.267,17,0.097,0.181,0
C000197,752.18,24,1,0.649,11,0.225,0.529,0
C000198,696.85,12,3,0.68,3,0.102,0.264,0
C000199,266.57,6,5,0.36,22,0.184,0.142,1
C000200,885.57,12,1,0.654,29,0.127,0.116,1
C000201,1041.72,12,1,0.524,8,0.565,0.078,0
C000202,1581.99,24,4,0.437,14,0.667,0.105,1
C000203,1545.41,24,5,0.65,4,0.335,0.467,0
C000204,220.93,12,5,0.502,1,0.679,0.445,0
C000205,314.11,3,6,0.538,6,0.377,0.193,0
C000206,1004.28,36,4,0.646,34,0.238,0.119,0
C000207,1003.28,12,0,0.893,29,0.471,0.219,1
C000208,1004.29,12,2,0.638,5,0.482,0.464,0
C000209,14504.08,12,3,0.665,1,0.548,0.493,0
C000210,1050.18,12,5,0.062,35,0.077,0.289,1
C000211,1649.87,6,1,0.32,19,0.152,0.262,1
C000212,1426.82,24,4,0.441,1,0.404,0.684,0
C000213,1120.03,24,3,0.588,24,0.547,0.375,0
C000214,516.87,12,3,0.362,14,0.324,0.278,0
C000215,1220.69,12,7,0.323,2,0.423,0.666,0
C000216,358.43,6,5,0.743,0,0.556,0.303,0
C000217,550.34,3,1,0.499,36,0.703,0.213,0
C000218,451.11,12,3,0.55,6,0.6,0.136,1
C000219,710.17,12,5,0.241,15,0.59,0.53,0
C000220,4237.49,36,5,0.567,3,0.59,0.446,0
C000221,149.33,24,6,0.203,22,0.157,0.405,0
C000222,1151.72,12,2,0.942,1,0.369,0.506,0
C000223,183.06,12,4,0.14,36,0.56,0.229,1
C000224,455.98,6,6,0.651,16,0.224,0.305,0
C000225,1589.48,36,1,0.895,2,0.778,0.132,0
C000226,700.24,12,1,0.74,16,0.421,0.256,0
C000227,280.85,6,1,0.54,10,0.718,0.427,1
C000228,375.31,12,3,0.39,6,0.486,0.097,0
C000229,1145.59,24,4,0.842,22,0.613,0.485,0
C000230,370.82,24,2,0.324,33,0.316,0.37,1
C000231,790.9,3,2,0.128,2,0.866,0.065,0
C000232,689.84,24,3,0.508,6,0.539,0.169,0
C000233,394.93,6,5,0.37,3,0.381,0.152,1
C000234,3696.55,3,5,0.688,12,0.193,0.303,0
C000235,1104.49,24,2,0.482,0,0.359,0.247,0
C000236,131.62,24,5,0.249,23,0.233,0.184,0
C000237,772.14,12,1,0.607,0,0.117,0.442,0
C000238,391.73,12,1,0.353,4,0.173,0.297,0
C000239,1315.47,24,4,0.405,37,0.374,0.059,0
C000240,352.83,24,3,0.356,34,0.027,0.187,0
C000241,606.81,24,4,0.388,19,0.476,0.083,0
C000242,996.24,12,4,0.091,25,0.321,0.247,0
C000243,1329.56,36,5,0.631,16,0.373,0.51,0
C000244,254.62,36,0,0.078,9,0.284,0.686,0
C000245,508.98,6,6,0.477,5,0.216,0.385,1
C000246,454.88,24,3,0.454,47,0.566,0.13,1
C000247,394.39,12,4,0.186,45,0.184,0.334,1
C000248,2730.84,12,1,0.169,45,0.562,0.071,0
C000249,919.64,12,1,0.563,48,0.488,0.508,1
C000250,242.57,3,3,0.777,28,0.467,0.696,0
C000251,1386.16,12,6,0.341,45,0.221,0.056,0
C000252,3632.68,24,6,0.69,40,0.079,0.322,0
C000253,1519.25,6,2,0.354,6,0.413,0.336,0
C000254,197.26,12,7,0.708,37,0.3,0.361,0
C000255,451.52,36,1,0.392,16,0.497,0.168,0
C000256,1832.67,12,2,0.351,14,0.541,0.096,0
C000257,377.61,12,4,0.746,2,0.393,0.359,0
C000258,948.66,12,3,0.334,38,0.356,0.374,1
C000259,1236.09,12,7,0.38,7,0.026,0.552,1
C000260,316.86,12,2,0.962,4,0.173,0.268,0
C000261,634.21,24,1,0.578,35,0.54,0.233,0
C000262,49.75,12,1,0.645,0,0.477,0.391,0
C000263,293.09,24,6,0.04,4,0.397,0.309,0
C000264,543.45,12,1,0.375,13,0.339,0.092,0
C000265,245.13,12,1,0.377,43,0.141,0.576,1
C000266,2455.12,12,1,0.251,11,0.339,0.374,0
C000267,211.85,24,3,0.472,3,0.408,0.333,0
C000268,467.76,12,4,0.354,13,0.353,0.159,0
C000269,738.48,3,2,0.837,19,0.646,0.205,0
C000270,2107.0,6,3,0.666,41,0.457,0.059,0
C000271,210.88,6,4,0.676,32,0.553,0.232,1
C000272,1686.7,6,3,0.707,30,0.583,0.173,0
C000273,670.61,12,3,0.459,13,0.279,0.082,0
C000274,303.32,3,2,0.287,47,0.384,0.178,1
C000275,962.64,24,3,0.546,42,0.513,0.382,0
C000276,779.96,6,4,0.719,28,0.73,0.526,1
C000277,411.51,12,3,0.68,31,0.238,0.022,0
C000278,703.34,12,3,0.777,47,0.614,0.007,0
C000279,488.7,6,2,0.782,8,0.694,0.065,1
C000280,728.37,24,4,0.427,61,0.439,0.433,1
C000281,1129.7,3,4,0.297,2,0.517,0.109,0
C000282,2365.66,12,2,0.727,42,0.224,0.313,1
C000283,247.09,24,6,0.139,5,0.228,0.332,0
C000284,3664.42,12,1,0.337,16,0.431,0.141,0
C000285,139.54,6,3,0.924,17,0.733,0.449,0
C000286,589.09,12,3,0.289,55,0.551,0.278,1
C000287,1064.92,24,4,0.496,6,0.609,0.348,0
C000288,832.8,36,4,0.616,10,0.259,0.183,0
C000289,404.17,24,6,0.396,3,0.152,0.427,0
C000290,563.13,12,1,0.575,15,0.588,0.3,1
C000291,448.36,36,4,0.173,9,0.765,0.097,0
C000292,415.1,3,2,0.82,11,0.186,0.456,0
C000293,1312.49,3,4,0.791,1,0.817,0.117,0
C000294,885.02,24,5,0.671,35,0.599,0.218,1
C000295,382.1,6,4,0.701,8,0.547,0.075,0
C000296,1366.05,3,2,0.737,20,0.443,0.113,0
C000297,850.51,6,5,0.425,20,0.556,0.098,0
C000298,1274.48,12,2,0.602,20,0.622,0.305,0
C000299,1100.7,24,5,0.325,5,0.286,0.21,0
C000300,342.68,12,1,0.385,2,0.258,0.109,0
C000301,424.9,6,2,0.872,1,0.304,0.112,0
C000302,1209.35,12,4,0.667,16,0.544,0.075,0
C000303,1083.87,36,2,0.664,1,0.296,0.087,0
C000304,654.11,24,3,0.684,10,0.356,0.087,0
C000305,730.6,12,1,0.535,41,0.307,0.58,0
C000306,1848.5,36,4,0.564,1,0.503,0.28,1
C000307,414.36,24,1,0.155,21,0.047,0.358,0
C000308,1030.37,3,2,0.409,11,0.699,0.21,0
C000309,565.8,3,0,0.632,39,0.232,0.178,1
C000310,558.84,6,1,0.544,27,0.72,0.277,0
C000311,1602.02,24,3,0.777,2,0.61,0.077,0
C000312,1287.34,6,4,0.536,6,0.804,0.065,1
C000313,1275.14,12,0,0.146,20,0.202,0.53,0
C000314,1890.1,3,8,0.154,3,0.562,0.511,1
C000315,676.41,36,3,0.21,32,0.546,0.414,1
C000316,1147.75,12,3,0.528,5,0.716,0.13,0
C000317,518.94,36,3,0.7,35,0.473,0.487,0
C000318,862.07,36,1,0.53,6,0.715,0.48,1
C000319,599.37,3,4,0.969,4,0.65,0.312,0
C000320,718.81,12,3,0.186,56,0.485,0.389,1
C000321,1070.76,3,3,0.602,20,0.475,0.146,1
C000322,345.65,36,3,0.099,15,0.217,0.088,0
C000323,3547.19,12,3,0.366,0,0.224,0.315,0
C000324,297.43,3,2,0.446,6,0.114,0.475,0
C000325,251.8,6,2,0.353,2,0.349,0.213,0
C000326,1679.9,12,3,0.045,3,0.449,0.252,0
C000327,1253.04,36,3,0.493,6,0.277,0.109,0
C000328,1095.86,12,5,0.36,2,0.393,0.553,0
C000329,1099.57,24,1,0.842,45,0.559,0.588,1
C000330,658.66,12,1,0.51,1,0.6,0.174,0
C000331,324.47,3,3,0.408,39,0.33,0.077,1
C000332,706.73,36,2,0.113,13,0.562,0.296,0
C000333,386.94,3,4,0.419,3,0.54,0.137,0
C000334,1451.13,36,3,0.778,14,0.395,0.191,0
C000335,591.32,12,3,0.772,39,0.195,0.295,0
C000336,343.64,3,1,0.452,44,0.161,0.161,0
C000337,514.34,12,2,0.482,8,0.43,0.09,0
C000338,925.51,36,5,0.866,22,0.497,0.177,0
C000339,423.7,36,2,0.744,1,0.427,0.08,0
C000340,344.54,6,3,0.463,13,0.274,0.338,1
C000341,808.31,6,2,0.699,5,0.661,0.606,0
C000342,809.14,12,3,0.792,7,0.189,0.482,0
C000343,443.39,12,1,0.225,12,0.506,0.13,1
C000344,456.31,24,4,0.438,48,0.214,0.102,0
C000345,800.82,6,2,0.323,34,0.497,0.436,1
C000346,208.83,36,3,0.651,9,0.167,0.282,0
C000347,215.73,12,1,0.667,12,0.347,0.255,0
C000348,374.37,24,1,0.386,41,0.46,0.292,0
C000349,560.73,12,1,0.471,1,0.383,0.363,0
C000350,852.97,12,3,0.206,29,0.12,0.247,0
C000351,2165.24,36,0,0.762,3,0.681,0.134,1
C000352,1320.98,12,2,0.274,6,0.273,0.221,0
C000353,585.26,24,2,0.316,4,0.537,0.337,0
C000354,655.1,36,3,0.166,16,0.093,0.206,0
C000355,298.26,12,5,0.546,5,0.349,0.279,0
C000356,655.36,12,3,0.869,12,0.253,0.271,0
C000357,527.99,3,5,0.452,0,0.681,0.226,1
C000358,861.07,3,5,0.592,7,0.05,0.219,0
C000359,343.17,6,1,0.838,24,0.233,0.131,0
C000360,1007.75,6,5,0.105,11,0.139,0.426,1
C000361,2266.95,6,3,0.54,34,0.622,0.277,0
C000362,609.72,12,0,0.404,12,0.428,0.033,1
C000363,917.24,12,4,0.788,41,0.401,0.531,1
C000364,1155.3,12,2,0.801,10,0.469,0.336,0
C000365,482.52,3,6,0.38,8,0.843,0.462,0
C000366,795.74,3,1,0.695,5,0.43,0.088,0
C000367,671.88,12,2,0.203,12,0.206,0.229,0
C000368,719.2,12,1,0.544,35,0.413,0.441,0
C000369,358.38,12,2,0.702,25,0.263,0.332,0
C000370,678.31,12,4,0.472,3,0.754,0.108,0
C000371,990.69,24,5,0.67,51,0.358,0.233,0
C000372,2123.7,12,1,0.356,11,0.263,0.257,0
C000373,1432.84,12,6,0.577,5,0.231,0.231,0
C000374,3723.97,36,7,0.71,55,0.313,0.227,0
C000375,360.01,24,2,0.49,11,0.326,0.197,1
C000376,1336.56,12,2,0.397,3,0.712,0.382,0
C000377,770.22,12,6,0.518,34,0.275,0.129,1
C000378,3834.68,6,4,0.551,13,0.094,0.471,0
C000379,348.4,12,5,0.589,4,0.1,0.21,0
C000380,339.75,36,2,0.718,22,0.192,0.427,1
C000381,411.78,12,1,0.366,80,0.636,0.147,1
C000382,121.62,36,5,0.318,1,0.62,0.073,1
C000383,436.77,12,6,0.347,11,0.081,0.219,0
C000384,362.38,36,3,0.966,14,0.552,0.228,0
C000385,750.18,12,2,0.191,21,0.498,0.361,1
C000386,874.28,3,2,0.25,5,0.539,0.212,0
C000387,2983.75,12,4,0.838,4,0.42,0.122,0
C000388,1422.74,6,5,0.295,27,0.472,0.171,0
C000389,419.25,3,4,0.241,22,0.79,0.161,0
C000390,324.17,24,7,0.042,5,0.389,0.134,0
C000391,985.88,6,2,0.625,1,0.484,0.236,0
C000392,231.32,24,3,0.694,32,0.193,0.067,0
C000393,2878.91,6,4,0.336,22,0.317,0.372,0
C000394,1708.81,6,2,0.497,42,0.467,0.178,0
C000395,456.99,36,2,0.825,1,0.508,0.379,0
C000396,168.93,12,3,0.369,13,0.399,0.232,0
C000397,1964.71,12,1,0.294,3,0.215,0.222,0
C000398,606.9,12,2,0.672,22,0.754,0.294,0
C000399,1790.51,12,3,0.889,5,0.237,0.519,0
C000400,185.76,36,3,0.076,6,0.425,0.474,0
C000401,411.78,12,4,0.367,25,0.275,0.339,0
C000402,667.94,12,6,0.417,34,0.785,0.279,1
C000403,690.62,24,2,0.117,48,0.02,0.042,0
C000404,464.03,6,5,0.511,1,0.109,0.194,0
C000405,1094.75,12,2,0.527,32,0.273,0.645,0
C000406,283.13,36,2,0.37,71,0.77,0.313,0
C000407,593.54,12,3,0.592,1,0.306,0.051,0
C000408,732.33,24,4,0.207,48,0.378,0.305,1
C000409,1003.8,12,3,0.453,61,0.747,0.205,1
C000410,1175.32,24,4,0.284,4,0.459,0.527,0
C000411,270.5,36,4,0.393,7,0.323,0.385,1
C000412,194.94,6,5,0.747,7,0.232,0.196,1
C000413,1848.52,6,3,0.789,59,0.236,0.106,1
C000414,867.7,12,2,0.441,0,0.639,0.02,0
C000415,365.48,24,5,0.92,16,0.568,0.528,0
C000416,2300.59,6,4,0.389,17,0.05,0.322,1
C000417,729.63,3,1,0.165,21,0.871,0.502,1
C000418,1708.61,12,0,0.644,5,0.36,0.365,0
C000419,702.06,36,3,0.676,12,0.133,0.261,1
C000420,3458.53,12,5,0.77,10,0.395,0.258,0
C000421,2708.83,12,4,0.444,10,0.424,0.053,0
C000422,545.02,6,9,0.476,8,0.429,0.201,0
C000423,1447.01,12,1,0.599,57,0.68,0.342,1
C000424,1114.66,6,2,0.145,21,0.19,0.376,0
C000425,1988.04,6,3,0.048,28,0.604,0.554,1
C000426,307.37,36,7,0.429,7,0.103,0.296,0
C000427,1151.52,36,4,0.547,0,0.214,0.145,0
C000428,1551.13,6,6,0.415,60,0.54,0.261,1
C000429,162.88,3,3,0.456,41,0.802,0.009,0
C000430,258.11,12,4,0.738,12,0.143,0.118,0
C000431,130.14,12,2,0.657,9,0.412,0.319,0
C000432,536.18,6,1,0.327,11,0.056,0.375,0
C000433,1180.9,12,1,0.557,6,0.102,0.52,0
C000434,2212.52,6,2,0.608,19,0.136,0.155,0
C000435,705.76,24,1,0.262,72,0.625,0.156,0
C000436,2447.67,24,3,0.22,1,0.387,0.155,0
C000437,220.5,12,1,0.951,31,0.283,0.082,0
C000438,170.25,12,2,0.556,1,0.181,0.288,0
C000439,636.23,36,2,0.288,39,0.498,0.054,1
C000440,904.38,36,2,0.507,3,0.384,0.194,0
C000441,647.97,6,5,0.885,13,0.523,0.266,1
C000442,127.24,6,2,0.458,14,0.621,0.429,0
C000443,619.37,12,5,0.452,19,0.232,0.722,0
C000444,234.26,3,5,0.353,18,0.688,0.249,0
C000445,1136.53,12,3,0.567,24,0.104,0.114,0
C000446,891.83,12,4,0.3,37,0.525,0.528,0
C000447,313.59,12,2,0.675,0,0.556,0.306,0
C000448,440.94,12,0,0.461,26,0.3,0.162,0
C000449,285.04,12,1,0.321,1,0.597,0.333,0
C000450,632.61,36,5,0.368,31,0.291,0.042,0
C000451,1428.12,6,5,0.407,31,0.379,0.031,1
C000452,302.3,12,5,0.536,4,0.308,0.087,0
C000453,995.49,3,2,0.741,4,0.597,0.437,0
C000454,435.19,3,10,0.544,1,0.141,0.214,0
C000455,352.73,12,0,0.384,5,0.437,0.196,0
C000456,610.56,6,4,0.488,13,0.321,0.206,0
C000457,290.56,3,1,0.724,9,0.635,0.123,0
C000458,427.13,6,3,0.433,5,0.407,0.103,0
C000459,255.11,12,3,0.437,19,0.518,0.193,0
C000460,3202.8,24,4,0.268,14,0.51,0.511,1
C000461,684.17,6,1,0.327,2,0.581,0.081,0
C000462,380.02,12,0,0.641,7,0.595,0.209,1
C000463,789.33,6,4,0.921,56,0.25,0.594,0
C000464,607.98,12,3,0.68,22,0.439,0.708,1
C000465,557.37,12,5,0.549,60,0.258,0.597,1
C000466,1087.17,12,4,0.707,12,0.424,0.129,0
C000467,1219.27,36,2,0.886,0,0.682,0.214,0
C000468,435.11,36,4,0.659,31,0.123,0.352,0
C000469,419.62,3,0,0.657,1,0.196,0.465,0
C000470,533.77,24,1,0.312,57,0.473,0.093,0
C000471,105.47,3,4,0.947,7,0.318,0.488,0
C000472,197.92,36,0,0.198,21,0.087,0.551,0
C000473,1985.25,6,6,0.333,37,0.238,0.293,0
C000474,2479.9,12,4,0.18,12,0.202,0.42,0
C000475,544.99,3,6,0.31,11,0.142,0.111,0
C000476,1054.95,6,4,0.631,4,0.046,0.262,0
C000477,853.21,24,4,0.544,26,0.388,0.568,1
C000478,7809.57,36,0,0.663,8,0.473,0.515,0
C000479,1628.9,12,2,0.064,19,0.099,0.361,0
C000480,600.44,24,3,0.099,5,0.524,0.2,0
C000481,309.69,24,1,0.678,26,0.499,0.08,0
C000482,183.98,6,2,0.642,23,0.132,0.137,0
C000483,782.72,3,3,0.122,0,0.582,0.251,0
C000484,363.19,3,2,0.47,2,0.383,0.386,0
C000485,213.19,12,3,0.539,1,0.414,0.451,0
C000486,396.53,6,1,0.732,0,0.092,0.323,0
C000487,279.99,3,4,0.433,1,0.512,0.31,0
C000488,2565.0,6,2,0.247,7,0.198,0.582,0
C000489,1346.56,6,1,0.041,29,0.452,0.126,1
